"2,,""Micrometru"",""UL"",""ro""";;
"300,,""Atmosfera fizica (Ю1325Pa)"",""UT"",""ro""";;
"301,,""Atmosfera tehnica (98066,5Pa)"",""UT"",""ro""";;
"302,,""Gigabecquerel"",""UT"",""ro""";;
"303,,""Rontgen"",""UT"",""ro""";;
"304,,""Milicurie"",""UT"",""ro""";;
"305,,""Curie"",""UT"",""ro""";;
"306,,""Gram izotopi fisionabili"",""UT"",""ro""";;
"307,,""Milimetru coloana de mercur standard (133,322 Pa)"",""UT"",""ro""";;
"308,,""Milibar"",""UT"",""ro""";;
"309,,""Bar"",""UT"",""ro""";;
"310,,""Hectobar"",""UT"",""ro""";;
"312,,""Kilobar"",""UT"",""ro""";;
"313,,""Tesla"",""UT"",""ro""";;
"314,,""Farad"",""UT"",""ro""";;
"315,,""Gram pe metru cub"",""UT"",""ro""";;
"316,,""Kilogram pe metru cub"",""UT"",""ro""";;
"317,,""Dina pe centimetru patrat"",""UT"",""ro""";;
"319,,""Milimetru patrat pe secunda"",""UT"",""ro""";;
"320,,""Metru patrat pe secunda"",""UT"",""ro""";;
"321,,""Metru patrat pe kilogram"",""UT"",""ro""";;
"322,,""Angstrom"",""UT"",""ro""";;
"323,,""Becquerel"",""UT"",""ro""";;
"324,,""Weber"",""UT"",""ro""";;
"325,,""Decibel"",""UT"",""ro""";;
"326,,""Steradian"",""UT"",""ro""";;
"327,,""Nod (mila marina pe ora)"",""UT"",""ro""";;
"328,,""Metru pe secunda"",""UT"",""ro""";;
"329,,""Centimetru pe secunda"",""UT"",""ro""";;
"330,,""Rotatie pe secunda"",""UT"",""ro""";;
"331,,""Rotatie pe minut"",""UT"",""ro""";;
"333,,""Kilometru pe ora"",""UT"",""ro""";;
"335,,""Metru pe secunda patrat"",""UT"",""ro""";;
"336,,""Milimetru pe secunda"",""UT"",""ro""";;
"337,,""Milimetru coloana de apa"",""UT"",""ro""";;
"338,,""Milimetru coloana de mercur"",""UT"",""ro""";;
"339,,""Centimetru coloana de apa"",""UT"",""ro""";;
"348,,""Kilogram pe   litru"",""UT"",""ro""";;
"349,,""Coulomb pe kilogram"",""UT"",""ro""";;
"350,,""Picosecunda"",""UTI"",""ro""";;
"351,,""Kilosecunda"",""UTI"",""ro""";;
"352,,""Microsecunda"",""UTI"",""ro""";;
"353,,""Milisecunda"",""UTI"",""ro""";;
"354,,""Secunda"",""UTI"",""ro""";;
"355,,""Minut"",""UTI"",""ro""";;
"356,,""Ora"",""UTI"",""ro""";;
"357,,""Ora lucratoare"",""UTI"",""ro""";;
"358,,""Ora suplimentara"",""UTI"",""ro""";;
"359,,""Zi";" douazeci si patru de ore"",""UTI"",""ro""";
"360,,""Saptamina"",""UTI"",""ro""";;
"361,,""Decada"",""UTI"",""ro""";;
"362,,""Luna"",""UTI"",""ro""";;
"363,,""Luna lucratoare"",""UTI"",""ro""";;
"364,,""Trimestru"",""UTI"",""ro""";;
"365,,""Jumatate de an"",""UTI"",""ro""";;
"366,,""An"",""UTI"",""ro""";;
"367,,""An-lumina"",""UTI"",""ro""";;
"368,,""Deceniu"",""UTI"",""ro""";;
"369,,""Secol"",""UTI"",""ro""";;
"487,,""Kilogram pe secunda"",""UE"",""ro""";;
"499,,""Miligram pe ora"",""UE"",""ro""";;
"500,,""Kilogram pe ora"",""UE"",""ro""";;
"501,,""Gram pe kilowatt-ora"",""UE"",""ro""";;
"510,,""Kilogram pe gigacalorie"",""UE"",""ro""";;
"511,,""Tona-numar"",""UE"",""ro""";;
"512,,""Tona tractiune"",""UE"",""ro""";;
"514,,""Om pe metru patrat"",""UE"",""ro""";;
"521,,""Om pe kilometru patrat"",""UE"",""ro""";;
"522,,""Om pe an"",""UE"",""ro""";;
"524,,""Norma pe ora"",""UE"",""ro""";;
"526,,""Norma pe schimb"",""UE"",""ro""";;
"527,,""Ora de lucru al utilajului"",""UE"",""ro""";;
"528,,""Tona de abur pe ora"",""UE"",""ro""";;
"533,,""Tona pe ora "",""UE"",""ro""";;
"534,,""Tona pe zi"",""UE"",""ro""";;
"535,,""Tona pe schimb"",""UE"",""ro""";;
"538,,""Om-ora"",""UE"",""ro""";;
"576,,""Metru cub pe secunda"",""UE"",""ro""";;
"596,,""Centimetru cub pe secunda"",""UE"",""ro""";;
"597,,""Metru cub pe ora"",""UE"",""ro""";;
"599,,""Litru pe kilometru"",""UE"",""ro""";;
"601,,""Balon"",""UE"",""ro""";;
"604,,""Borcan"",""UE"",""ro""";;
"607,,""Damigeana"",""UE"",""ro""";;
"608,,""Caldare"",""UE"",""ro""";;
"609,,""Bara"",""UE"",""ro""";;
"612,,""Calup"",""UE"",""ro""";;
"613,,""Sac dehirtie"",""UE"",""ro""";;
"614,,""Colac "",""UE"",""ro""";;
"615,,""Bobina"",""UE"",""ro""";;
"616,,""Butoias"",""UE"",""ro""";;
"620,,""Butoi"",""UE"",""ro""";;
"621,,""Scindura"",""UE"",""ro""";;
"623,,""Foaie"",""UE"",""ro""";;
"626,,""Vagon"",""UE"",""ro""";;
"627,,""Vagon-ora "",""UE"",""ro""";;
"628,,""Vagon-zi"",""UE"",""ro""";;
"629,,""Mie caramide standardconventionale"",""UE"",""ro""";;
"630,,""Numar vagoane de serviciu"",""UE"",""ro""";;
"631,,""Cale de acces"",""UE"",""ro""";;
"632,,""Doza"",""UE"",""ro""";;
"640,,""Duzina (12 bucati)"",""UE"",""ro""";;
"641,,""Unitate"",""UE"",""ro""";;
"644,,""Unitate de utilaj"",""UE"",""ro""";;
"645,,""Unitate de abonat"",""UE"",""ro""";;
"646,,""Unitate de nutret"",""UE"",""ro""";;
"647,,""Chintal unitati furajere"",""UE"",""ro""";;
"648,,""Unitate pe tona"",""UE"",""ro""";;
"649,,""Chintal pe hectar"",""UE"",""ro""";;
"650,,""Port de legatura"",""UE"",""ro""";;
"652,,""Linia de telecomunicatie deservita"",""UE"",""ro""";;
"653,,""Minut de comunicare"",""UE"",""ro""";;
"759,,""Kilogram pe hectar"",""UE"",""ro""";;
"760,,""Tona pe hectar"",""UE"",""ro""";;
"761,,""Kilogram pe om"",""UE"",""ro""";;
"762,,""Hectar pe om"",""UE"",""ro""";;
"763,,""Lei pe om"",""UE"",""ro""";;
"766,,""Mie lei pe hectar"",""UE"",""ro""";;
"767,,""Lei perora"",""UE"",""ro""";;
"768,,""Ambalaj"",""UE"",""ro""";;
"779,,""Duzina ambalaje"",""UE"",""ro""";;
"783,,""Om"",""UE"",""ro""";;
"794,,""Bucata"",""UE"",""ro""";;
"811,,""Lada"",""UE"",""ro""";;
"814,,""Concentratie masica de alcool"",""UE"",""ro""";;
"820,,""Concentratie volumica de alcool"",""UE"",""ro""";;
"821,,""Litru alcool absolut"",""UE"",""ro""";;
"831,,""Hectolitru alcool absolut"",""UE"",""ro""";;
"833,,""Capete"",""UE"",""ro""";;
"838,,""Complet"",""UE"",""ro""";;
"839,,""Sectie"",""UE"",""ro""";;
"908,,""Numar"",""UE"",""ro""";;
"909,,""Apartament"",""UE"",""ro""";;
"911,,""Cat"",""UE"",""ro""";;
"913,,""Volum fond de carti"",""UE"",""ro""";;
"915,,""Reparatie conventionala"",""UE"",""ro""";;
"916,,""Reparatie conventionala pe an"",""UE"",""ro""";;
"917,,""Schimb"",""UE"",""ro""";;
"918,,""Coala de autor"",""UE"",""ro""";;
"920,,""Coala de tipar"",""UE"",""ro""";;
"921,,""Coala editoriala"",""UE"",""ro""";;
"922,,""Semn"",""UE"",""ro""";;
"923,,""Cuvint"",""UE"",""ro""";;
"924,,""Simbol"",""UE"",""ro""";;
"925,,""Teava conventionala"",""UE"",""ro""";;
"2,,""мkм"",""UL"",""ru""";;
"3,,""мм"",""UL"",""ru""";;
"4,,""cм"",""UL"",""ru""";;
"5,,""дм"",""UL"",""ru""";;
"6,,""м"",""UL"",""ru""";;
"8,,""kм";" м"",""UL"",""ru""";
"9,,""Mм"; м;"km"",""UL"",""ru"""
"10,,""ПК"",""UL"",""ru""";;
"18,,""пог. м"",""UL"",""ru""";;
"19,,""пог. м"",""UL"",""ru""";;
"20,,""усл. м"",""UL"",""ru""";;
"21,,""пог. м пpoxoдки"",""UL"",""ru""";;
"22,,""пог. cм"",""UL"",""ru""";;
"23,,""10 пог. м"",""UL"",""ru""";;
"39,,""дюйм"",""UL"",""ru""";;
"41,,""фут"",""UL"",""ru""";;
"43,,""ярд"",""UL"",""ru""";;
"47,,""миля"",""UL"",""ru""";;
"48,,""усл. м"",""UL"",""ru""";;
"49,,""kм усл. труб"",""UL"",""ru""";;
"50,,""мм2"",""UA"",""ru""";;
"51,,""cм2"",""UA"",""ru""";;
"53,,""дм2"",""UA"",""ru""";;
"54,,""дм 2"",""UA"",""ru""";;
"55,,""м 2"",""UA"",""ru""";;
"56,,""дм2"",""UA"",""ru""";;
"57,,""м2"",""UA"",""ru""";;
"58,,""м 2"",""UA"",""ru""";;
"59,,""ra"",""UA"",""ru""";;
"60,,""ra"",""UA"",""ru""";;
"61,,""kм 2"",""UA"",""ru""";;
"62,,""усл. м2"",""UA"",""ru""";;
"63,,""усл. М2"",""UA"",""ru""";;
"64,,""усл. М2"",""UA"",""ru""";;
"71,,""дюйм2"",""UA"",""ru""";;
