code,name,scheme,uri,region_code,region_country_code,region_country_language_code
1010000,s.Botnaresti,CUATM,http://statistica.md,1000000,MD,en
1010000,s.Botnăreşti,CUATM,http://statistica.md,1000000,MD,ro
1010000,с.Ботнэрешть,CUATM,http://statistica.md,1000000,MD,ru
1010001,s.Salcia,CUATM,http://statistica.md,1000000,MD,en
1010001,s.Salcia (r-l Anenii Noi),CUATM,http://statistica.md,1000000,MD,ro
1010001,с.Салчия (р-н Анений Ной),CUATM,http://statistica.md,1000000,MD,ru
1011000,s.Bulboaca,CUATM,http://statistica.md,1000000,MD,en
1011000,s.Bulboaca (r-l Anenii Noi),CUATM,http://statistica.md,1000000,MD,ro
1011000,с.Булбоака (р-н Анений Ной),CUATM,http://statistica.md,1000000,MD,ru
1012000,s.Calfa,CUATM,http://statistica.md,1000000,MD,en
1012000,s.Calfa,CUATM,http://statistica.md,1000000,MD,ro
1012000,с.Калфа,CUATM,http://statistica.md,1000000,MD,ru
1012001,s.Calfa Noua,CUATM,http://statistica.md,1000000,MD,en
1012001,s.Calfa Nouă,CUATM,http://statistica.md,1000000,MD,ro
1012001,с.Калфа Ноуэ,CUATM,http://statistica.md,1000000,MD,ru
1013000,s.Chetrosu,CUATM,http://statistica.md,1000000,MD,en
1013000,s.Chetrosu (r-l Anenii Noi),CUATM,http://statistica.md,1000000,MD,ro
1013000,с.Кетросу (р-н Анений Ной),CUATM,http://statistica.md,1000000,MD,ru
1013001,s.Todiresti,CUATM,http://statistica.md,1000000,MD,en
1013001,s.Todireşti (r-l Anenii Noi),CUATM,http://statistica.md,1000000,MD,ro
1013001,с.Тодирешть (р-н Анений Ной),CUATM,http://statistica.md,1000000,MD,ru
1014000,s.Chirca,CUATM,http://statistica.md,1000000,MD,en
1014000,s.Chirca,CUATM,http://statistica.md,1000000,MD,ro
1014000,с.Кирка,CUATM,http://statistica.md,1000000,MD,ru
1014001,s.Botnarestii Noi,CUATM,http://statistica.md,1000000,MD,en
1014001,s.Botnăreştii Noi,CUATM,http://statistica.md,1000000,MD,ro
1014001,с.Ботнэрештий Ной,CUATM,http://statistica.md,1000000,MD,ru
1015000,s.Ciobanovca,CUATM,http://statistica.md,1000000,MD,en
